Tarih,Tahmin,Alt_Sinir,Ust_Sinir
2023-10-01,92,-14,189
2023-10-02,152,49,254
2023-10-03,165,56,273
2023-10-04,157,56,264
2023-10-05,146,38,248
2023-10-06,191,82,286
2023-10-07,221,118,323
2023-10-08,105,-2,216
2023-10-09,161,52,266
2023-10-10,169,64,276
2023-10-11,156,50,259
2023-10-12,140,35,246
2023-10-13,179,82,288
2023-10-14,205,96,309
2023-10-15,84,-19,185
2023-10-16,136,37,246
2023-10-17,140,33,248
2023-10-18,125,21,228
2023-10-19,107,7,210
2023-10-20,146,42,253
2023-10-21,171,58,276
2023-10-22,52,-46,165
2023-10-23,106,3,213
2023-10-24,114,19,223
2023-10-25,102,0,208
2023-10-26,89,-9,201
2023-10-27,133,30,239
2023-10-28,164,53,268
2023-10-29,51,-55,150
2023-10-30,112,5,216
