ds,y
2022-01-01,32
2022-01-02,14
2022-01-03,19
2022-01-04,26
2022-01-05,14
2022-01-06,26
2022-01-07,21
2022-01-08,28
2022-01-09,19
2022-01-10,29
2022-01-11,19
2022-01-12,21
2022-01-13,24
2022-01-14,26
2022-01-15,33
2022-01-16,24
2022-01-17,24
2022-01-18,21
2022-01-19,20
2022-01-20,20
2022-01-21,33
2022-01-22,21
2022-01-23,24
2022-01-24,23
2022-01-25,38
2022-01-26,32
2022-01-27,21
2022-01-28,24
2022-01-29,37
2022-01-30,17
2022-01-31,26
2022-02-01,18
2022-02-02,16
2022-02-03,35
2022-02-04,34
2022-02-05,24
2022-02-06,11
2022-02-07,19
2022-02-08,30
2022-02-09,25
2022-02-10,16
2022-02-11,37
2022-02-12,30
2022-02-13,17
2022-02-14,83
2022-02-15,14
2022-02-16,22
2022-02-17,25
2022-02-18,20
2022-02-19,22
2022-02-20,14
2022-02-21,12
2022-02-22,26
2022-02-23,30
2022-02-24,19
2022-02-25,30
2022-02-26,27
2022-02-27,18
2022-02-28,30
2022-03-01,65
2022-03-02,51
2022-03-03,62
2022-03-04,51
2022-03-05,77
2022-03-06,26
2022-03-07,69
2022-03-08,101
2022-03-09,56
2022-03-10,44
2022-03-11,85
2022-03-12,69
2022-03-13,43
2022-03-14,53
2022-03-15,77
2022-03-16,24
2022-03-17,25
2022-03-18,31
2022-03-19,27
2022-03-20,8
2022-03-21,15
2022-03-22,14
2022-03-23,24
2022-03-24,20
2022-03-25,27
2022-03-26,18
2022-03-27,8
2022-03-28,27
2022-03-29,20
2022-03-30,20
2022-03-31,8
2022-04-01,45
2022-04-02,55
2022-04-03,41
2022-04-04,42
2022-04-05,61
2022-04-06,44
2022-04-07,45
2022-04-08,58
2022-04-09,57
2022-04-10,19
2022-04-11,54
2022-04-12,43
2022-04-13,41
2022-04-14,37
2022-04-15,53
2022-04-16,20
2022-04-17,10
2022-04-18,22
2022-04-19,21
2022-04-20,24
2022-04-21,17
2022-04-22,18
2022-04-23,24
2022-04-24,11
2022-04-25,21
2022-04-26,25
2022-04-27,24
2022-04-28,29
2022-04-29,22
2022-04-30,22
2022-05-01,12
2022-05-02,14
2022-05-03,13
2022-05-04,19
2022-05-05,21
2022-05-06,20
2022-05-07,19
2022-05-08,40
2022-05-09,8
2022-05-10,12
2022-05-11,22
2022-05-12,11
2022-05-13,21
2022-05-14,30
2022-05-15,11
2022-05-16,14
2022-05-17,22
2022-05-18,15
2022-05-19,23
2022-05-20,25
2022-05-21,25
2022-05-22,6
2022-05-23,21
2022-05-24,14
2022-05-25,22
2022-05-26,22
2022-05-27,25
2022-05-28,21
2022-05-29,14
2022-05-30,12
2022-05-31,28
2022-06-01,24
2022-06-02,27
2022-06-03,19
2022-06-04,41
2022-06-05,17
2022-06-06,14
2022-06-07,19
2022-06-08,36
2022-06-09,18
2022-06-10,20
2022-06-11,33
2022-06-12,3
2022-06-13,23
2022-06-14,20
2022-06-15,37
2022-06-16,12
2022-06-17,29
2022-06-18,21
2022-06-19,14
2022-06-20,28
2022-06-21,25
2022-06-22,23
2022-06-23,19
2022-06-24,12
2022-06-25,23
2022-06-26,18
2022-06-27,18
2022-06-28,28
2022-06-29,21
2022-06-30,24
2022-07-01,34
2022-07-02,29
2022-07-03,10
2022-07-04,23
2022-07-05,28
2022-07-06,21
2022-07-07,18
2022-07-08,30
2022-07-09,35
2022-07-10,16
2022-07-11,12
2022-07-12,21
2022-07-13,17
2022-07-14,18
2022-07-15,24
2022-07-16,33
2022-07-17,16
2022-07-18,23
2022-07-19,21
2022-07-20,18
2022-07-21,17
2022-07-22,29
2022-07-23,30
2022-07-24,21
2022-07-25,21
2022-07-26,14
2022-07-27,22
2022-07-28,25
2022-07-29,24
2022-07-30,13
2022-07-31,16
2022-08-01,13
2022-08-02,28
2022-08-03,12
2022-08-04,15
2022-08-05,32
2022-08-06,23
2022-08-07,3
2022-08-08,12
2022-08-09,19
2022-08-10,15
2022-08-11,16
2022-08-12,18
2022-08-13,26
2022-08-14,8
2022-08-15,25
2022-08-16,16
2022-08-17,23
2022-08-18,18
2022-08-19,22
2022-08-20,25
2022-08-21,16
2022-08-22,24
2022-08-23,23
2022-08-24,20
2022-08-25,13
2022-08-26,25
2022-08-27,12
2022-08-28,6
2022-08-29,14
2022-08-30,31
2022-08-31,12
2022-09-01,18
2022-09-02,16
