ds,y
2022-01-01,22014.39
2022-01-02,9942.38
2022-01-03,17782.62
2022-01-04,17945.49
2022-01-05,16959.12
2022-01-06,15278.38
2022-01-07,17238.88
2022-01-08,18755.62
2022-01-09,10088.52
2022-01-10,18860.670000000002
2022-01-11,15069.66
2022-01-12,15631.82
2022-01-13,14840.37
2022-01-14,18328.55
2022-01-15,21811.36
2022-01-16,12638.41
2022-01-17,17337.14
2022-01-18,16157.73
2022-01-19,14758.24
2022-01-20,12418.08
2022-01-21,20917.42
2022-01-22,20401.86
2022-01-23,12543.89
2022-01-24,17437.38
2022-01-25,16603.0
2022-01-26,18667.96
2022-01-27,14643.279999999999
2022-01-28,18702.69
2022-01-29,18890.34
2022-01-30,9349.09
2022-01-31,17369.52
2022-02-01,18247.44
2022-02-02,16403.66
2022-02-03,14562.3
2022-02-04,19877.91
2022-02-05,22311.68
2022-02-06,10034.09
2022-02-07,13224.789999999999
2022-02-08,17328.41
2022-02-09,17262.54
2022-02-10,13121.95
2022-02-11,19580.66
2022-02-12,24080.39
2022-02-13,9725.710000000001
2022-02-14,56952.89
2022-02-15,15580.42
2022-02-16,17878.54
2022-02-17,15382.5
2022-02-18,17135.93
2022-02-19,20520.79
2022-02-20,9435.0
2022-02-21,15522.89
2022-02-22,19046.99
2022-02-23,16838.6
2022-02-24,12794.49
2022-02-25,22592.04
2022-02-26,20350.97
2022-02-27,9048.1
2022-02-28,18787.98
2022-03-01,43863.97
2022-03-02,39783.43
2022-03-03,36211.85
2022-03-04,47694.88
2022-03-05,53440.06
2022-03-06,27638.19
2022-03-07,39725.3
2022-03-08,84310.73
2022-03-09,39270.24
2022-03-10,39475.3
2022-03-11,47455.47
2022-03-12,55239.35
2022-03-13,26641.0
2022-03-14,42067.31
2022-03-15,42928.63
2022-03-16,17076.8
2022-03-17,14931.49
2022-03-18,16795.45
2022-03-19,21422.23
2022-03-20,11100.68
2022-03-21,17178.63
2022-03-22,18276.27
2022-03-23,17164.579999999998
2022-03-24,14032.52
2022-03-25,19180.11
2022-03-26,22839.05
2022-03-27,9342.24
2022-03-28,16669.03
2022-03-29,22779.83
2022-03-30,15139.39
2022-03-31,14714.44
2022-04-01,38912.94
2022-04-02,47197.81
2022-04-03,18900.3
2022-04-04,34930.78
2022-04-05,37579.78
2022-04-06,33370.78
2022-04-07,35764.07
2022-04-08,41117.26
2022-04-09,46433.35
2022-04-10,21325.079999999998
2022-04-11,38082.11
2022-04-12,39709.1
2022-04-13,35533.07
2022-04-14,31672.16
2022-04-15,40787.4
2022-04-16,18108.56
2022-04-17,10506.35
2022-04-18,15378.18
2022-04-19,15087.69
2022-04-20,13042.68
2022-04-21,10321.05
2022-04-22,17668.86
2022-04-23,18254.989999999998
2022-04-24,10619.56
2022-04-25,11267.12
2022-04-26,13162.34
2022-04-27,11939.9
2022-04-28,11367.25
2022-04-29,17074.08
