ds,y
2022-01-01,15.0
2022-01-02,7.0
2022-01-03,11.0
2022-01-04,11.0
2022-01-05,12.0
2022-01-06,5.0
2022-01-07,4.0
2022-01-08,8.0
2022-01-09,15.0
2022-01-10,7.0
2022-01-11,15.0
2022-01-12,17.0
2022-01-13,4.0
2022-01-14,18.0
2022-01-15,25.0
2022-01-16,17.0
2022-01-17,7.0
2022-01-18,10.0
2022-01-19,10.0
2022-01-20,19.0
2022-01-21,15.0
2022-01-22,13.0
2022-01-23,13.0
2022-01-24,9.0
2022-01-25,11.0
2022-01-26,17.0
2022-01-27,12.0
2022-01-28,18.0
2022-01-29,9.0
2022-01-30,12.0
2022-01-31,10.0
2022-02-01,12.0
2022-02-02,5.0
2022-02-03,5.0
2022-02-04,10.0
2022-02-05,22.0
2022-02-06,7.0
2022-02-07,6.0
2022-02-08,12.0
2022-02-09,9.0
2022-02-10,12.0
2022-02-11,13.0
2022-02-12,23.0
2022-02-13,7.0
2022-02-14,43.0
2022-02-15,7.0
2022-02-16,11.0
2022-02-17,12.0
2022-02-18,12.0
2022-02-19,7.0
2022-02-20,14.0
2022-02-21,15.0
2022-02-22,13.0
2022-02-23,9.0
2022-02-24,12.0
2022-02-25,19.0
2022-02-26,13.0
2022-02-27,9.0
2022-02-28,13.0
2022-03-01,34.0
2022-03-02,24.0
2022-03-03,26.0
2022-03-04,30.0
2022-03-05,29.0
2022-03-06,18.0
2022-03-07,26.0
2022-03-08,65.0
2022-03-09,20.0
2022-03-10,31.0
2022-03-11,35.0
2022-03-12,49.0
2022-03-13,16.0
2022-03-14,30.0
2022-03-15,39.0
2022-03-16,13.0
2022-03-17,12.0
2022-03-18,11.0
2022-03-19,14.0
2022-03-20,12.0
2022-03-21,18.0
2022-03-22,21.0
2022-03-23,12.0
2022-03-24,12.0
2022-03-25,15.0
2022-03-26,24.0
2022-03-27,7.0
2022-03-28,8.0
2022-03-29,24.0
2022-03-30,12.0
2022-03-31,15.0
2022-04-01,30.0
2022-04-02,31.0
2022-04-03,18.0
2022-04-04,16.0
2022-04-05,27.0
2022-04-06,16.0
2022-04-07,21.0
2022-04-08,28.0
2022-04-09,32.0
2022-04-10,20.0
2022-04-11,35.0
2022-04-12,27.0
2022-04-13,36.0
2022-04-14,27.0
2022-04-15,34.0
2022-04-16,17.0
2022-04-17,7.0
2022-04-18,20.0
2022-04-19,12.0
2022-04-20,13.0
2022-04-21,3.0
2022-04-22,15.0
2022-04-23,16.0
2022-04-24,9.0
2022-04-25,13.0
2022-04-26,9.0
2022-04-27,9.0
2022-04-28,5.0
2022-04-29,13.0
2022-04-30,4.0
2022-05-01,2.0
