ds,y
2022-01-01,82
2022-01-02,36
2022-01-03,46
2022-01-04,59
2022-01-05,58
2022-01-06,48
2022-01-07,68
2022-01-08,79
2022-01-09,25
2022-01-10,68
2022-01-11,45
2022-01-12,47
2022-01-13,48
2022-01-14,48
2022-01-15,59
2022-01-16,35
2022-01-17,61
2022-01-18,54
2022-01-19,43
2022-01-20,28
2022-01-21,71
2022-01-22,69
2022-01-23,30
2022-01-24,60
2022-01-25,51
2022-01-26,56
2022-01-27,53
2022-01-28,53
2022-01-29,53
2022-01-30,20
2022-01-31,55
2022-02-01,74
2022-02-02,55
2022-02-03,45
2022-02-04,72
2022-02-05,53
2022-02-06,37
2022-02-07,50
2022-02-08,54
2022-02-09,44
2022-02-10,36
2022-02-11,62
2022-02-12,61
2022-02-13,23
2022-02-14,187
2022-02-15,54
2022-02-16,53
2022-02-17,39
2022-02-18,46
2022-02-19,78
2022-02-20,27
2022-02-21,50
2022-02-22,64
2022-02-23,49
2022-02-24,42
2022-02-25,64
2022-02-26,68
2022-02-27,29
2022-02-28,66
2022-03-01,162
2022-03-02,131
2022-03-03,122
2022-03-04,152
2022-03-05,182
2022-03-06,94
2022-03-07,124
2022-03-08,287
2022-03-09,115
2022-03-10,123
2022-03-11,146
2022-03-12,184
2022-03-13,85
2022-03-14,134
2022-03-15,123
2022-03-16,58
2022-03-17,46
2022-03-18,52
2022-03-19,73
2022-03-20,35
2022-03-21,53
2022-03-22,42
2022-03-23,46
2022-03-24,50
2022-03-25,68
2022-03-26,75
2022-03-27,33
2022-03-28,63
2022-03-29,81
2022-03-30,51
2022-03-31,47
2022-04-01,124
2022-04-02,154
2022-04-03,67
2022-04-04,154
2022-04-05,115
2022-04-06,119
2022-04-07,131
2022-04-08,135
2022-04-09,154
2022-04-10,51
2022-04-11,117
2022-04-12,133
2022-04-13,110
2022-04-14,92
2022-04-15,134
2022-04-16,63
2022-04-17,31
2022-04-18,47
2022-04-19,44
2022-04-20,44
2022-04-21,27
2022-04-22,62
2022-04-23,61
2022-04-24,35
2022-04-25,37
2022-04-26,51
2022-04-27,42
2022-04-28,29
2022-04-29,75
2022-04-30,70
2022-05-01,37
2022-05-02,57
2022-05-03,40
2022-05-04,64
2022-05-05,30
2022-05-06,45
2022-05-07,62
2022-05-08,124
2022-05-09,42
2022-05-10,56
2022-05-11,46
2022-05-12,38
2022-05-13,42
2022-05-14,63
2022-05-15,19
2022-05-16,54
2022-05-17,44
2022-05-18,44
2022-05-19,45
2022-05-20,70
2022-05-21,67
2022-05-22,27
2022-05-23,49
2022-05-24,48
2022-05-25,34
2022-05-26,44
2022-05-27,64
2022-05-28,52
2022-05-29,20
2022-05-30,32
2022-05-31,62
2022-06-01,46
2022-06-02,37
2022-06-03,63
2022-06-04,65
2022-06-05,36
2022-06-06,49
2022-06-07,54
2022-06-08,48
2022-06-09,43
2022-06-10,60
2022-06-11,50
2022-06-12,23
2022-06-13,42
2022-06-14,34
2022-06-15,34
2022-06-16,56
2022-06-17,56
2022-06-18,57
2022-06-19,31
2022-06-20,44
2022-06-21,33
2022-06-22,42
2022-06-23,34
2022-06-24,54
2022-06-25,50
2022-06-26,35
2022-06-27,45
2022-06-28,50
2022-06-29,51
2022-06-30,42
2022-07-01,63
2022-07-02,51
2022-07-03,33
2022-07-04,46
2022-07-05,57
2022-07-06,52
2022-07-07,43
2022-07-08,42
2022-07-09,55
2022-07-10,39
2022-07-11,49
2022-07-12,72
2022-07-13,45
2022-07-14,42
2022-07-15,55
2022-07-16,52
2022-07-17,44
2022-07-18,44
2022-07-19,56
2022-07-20,51
2022-07-21,31
2022-07-22,38
2022-07-23,60
2022-07-24,25
2022-07-25,53
2022-07-26,52
2022-07-27,34
2022-07-28,51
2022-07-29,44
2022-07-30,79
2022-07-31,32
2022-08-01,37
2022-08-02,33
2022-08-03,46
2022-08-04,43
2022-08-05,71
2022-08-06,64
2022-08-07,29
2022-08-08,40
2022-08-09,45
2022-08-10,44
2022-08-11,29
2022-08-12,37
2022-08-13,64
2022-08-14,26
2022-08-15,51
2022-08-16,44
2022-08-17,43
2022-08-18,28
2022-08-19,52
2022-08-20,52
2022-08-21,26
2022-08-22,56
2022-08-23,43
2022-08-24,54
2022-08-25,35
2022-08-26,58
2022-08-27,75
2022-08-28,32
2022-08-29,40
2022-08-30,42
2022-08-31,44
2022-09-01,32
2022-09-02,48
2022-09-03,57
2022-09-04,15
2022-09-05,58
2022-09-06,49
2022-09-07,34
2022-09-08,28
2022-09-09,48
2022-09-10,63
2022-09-11,31
2022-09-12,31
2022-09-13,42
2022-09-14,47
2022-09-15,49
2022-09-16,51
2022-09-17,61
2022-09-18,29
2022-09-19,39
2022-09-20,38
2022-09-21,51
2022-09-22,39
2022-09-23,49
2022-09-24,60
2022-09-25,21
2022-09-26,38
2022-09-27,54
2022-09-28,38
2022-09-29,37
2022-09-30,56
2022-10-01,36
2022-10-02,42
2022-10-03,32
2022-10-04,45
2022-10-05,46
2022-10-06,50
2022-10-07,42
2022-10-08,52
2022-10-09,28
2022-10-10,42
2022-10-11,56
2022-10-12,38
2022-10-13,32
2022-10-14,44
2022-10-15,58
2022-10-16,23
2022-10-17,36
2022-10-18,56
2022-10-19,48
2022-10-20,45
2022-10-21,43
2022-10-22,66
2022-10-23,31
2022-10-24,41
2022-10-25,41
2022-10-26,44
2022-10-27,54
2022-10-28,62
2022-10-29,74
2022-10-30,15
2022-10-31,44
2022-11-01,38
2022-11-02,31
2022-11-03,31
2022-11-04,53
2022-11-05,65
2022-11-06,23
2022-11-07,37
2022-11-08,41
2022-11-09,43
2022-11-10,36
2022-11-11,42
2022-11-12,70
2022-11-13,26
2022-11-14,35
2022-11-15,53
2022-11-16,52
2022-11-17,36
2022-11-18,56
2022-11-19,39
2022-11-20,83
2022-11-21,125
2022-11-22,162
2022-11-23,137
2022-11-24,120
2022-11-25,152
2022-11-26,205
2022-11-27,85
2022-11-28,132
2022-11-29,172
2022-11-30,131
2022-12-01,44
2022-12-02,47
2022-12-03,71
2022-12-04,30
2022-12-05,54
2022-12-06,39
2022-12-07,46
2022-12-08,50
2022-12-09,50
2022-12-10,57
2022-12-11,19
2022-12-12,54
2022-12-13,42
2022-12-14,63
2022-12-15,167
2022-12-16,221
2022-12-17,222
2022-12-18,105
2022-12-19,185
2022-12-20,191
2022-12-21,167
2022-12-22,185
2022-12-23,199
2022-12-24,234
2022-12-25,101
2022-12-26,194
2022-12-27,203
2022-12-28,160
2022-12-29,139
2022-12-30,199
2022-12-31,250
2023-01-01,27
2023-01-02,50
2023-01-03,49
2023-01-04,32
2023-01-05,51
2023-01-06,50
2023-01-07,53
2023-01-08,21
2023-01-09,41
2023-01-10,47
2023-01-11,35
2023-01-12,34
2023-01-13,54
2023-01-14,75
2023-01-15,34
2023-01-16,51
2023-01-17,43
2023-01-18,48
2023-01-19,48
2023-01-20,43
2023-01-21,55
2023-01-22,33
2023-01-23,52
2023-01-24,54
2023-01-25,44
2023-01-26,41
2023-01-27,58
2023-01-28,60
2023-01-29,33
2023-01-30,40
2023-01-31,50
2023-02-01,61
2023-02-02,37
2023-02-03,50
2023-02-04,82
2023-02-05,17
2023-02-06,45
2023-02-07,47
2023-02-08,54
2023-02-09,39
2023-02-10,49
2023-02-11,57
2023-02-12,14
2023-02-13,51
2023-02-14,155
2023-02-15,59
2023-02-16,33
2023-02-17,62
2023-02-18,70
2023-02-19,31
2023-02-20,46
2023-02-21,53
2023-02-22,35
2023-02-23,43
2023-02-24,46
2023-02-25,58
2023-02-26,29
2023-02-27,32
2023-02-28,63
2023-03-01,127
2023-03-02,104
2023-03-03,129
2023-03-04,163
2023-03-05,64
2023-03-06,111
2023-03-07,122
2023-03-08,192
2023-03-09,116
2023-03-10,148
2023-03-11,168
2023-03-12,78
2023-03-13,122
2023-03-14,120
2023-03-15,103
2023-03-16,39
2023-03-17,53
2023-03-18,61
2023-03-19,28
2023-03-20,40
2023-03-21,53
2023-03-22,48
2023-03-23,30
2023-03-24,42
2023-03-25,70
2023-03-26,38
2023-03-27,42
2023-03-28,42
2023-03-29,43
2023-03-30,43
2023-03-31,60
2023-04-01,186
2023-04-02,69
2023-04-03,126
2023-04-04,126
2023-04-05,115
2023-04-06,110
2023-04-07,111
2023-04-08,180
2023-04-09,83
2023-04-10,102
2023-04-11,117
2023-04-12,115
2023-04-13,103
2023-04-14,119
2023-04-15,173
2023-04-16,39
2023-04-17,51
2023-04-18,32
2023-04-19,54
2023-04-20,53
2023-04-21,61
2023-04-22,61
2023-04-23,21
2023-04-24,40
2023-04-25,60
2023-04-26,43
2023-04-27,47
2023-04-28,78
2023-04-29,65
2023-04-30,30
2023-05-01,44
2023-05-02,29
2023-05-03,48
2023-05-04,34
2023-05-05,56
2023-05-06,77
2023-05-07,25
2023-05-08,44
2023-05-09,45
2023-05-10,31
2023-05-11,44
2023-05-12,50
2023-05-13,71
2023-05-14,107
2023-05-15,34
2023-05-16,71
2023-05-17,52
2023-05-18,53
2023-05-19,44
2023-05-20,61
2023-05-21,33
2023-05-22,44
2023-05-23,55
2023-05-24,39
2023-05-25,48
2023-05-26,51
2023-05-27,59
2023-05-28,35
2023-05-29,37
2023-05-30,42
2023-05-31,45
2023-06-01,35
2023-06-02,48
2023-06-03,73
2023-06-04,27
2023-06-05,43
2023-06-06,58
2023-06-07,55
2023-06-08,33
2023-06-09,50
2023-06-10,75
2023-06-11,27
2023-06-12,46
2023-06-13,38
2023-06-14,56
2023-06-15,56
2023-06-16,48
