ds,y
2022-01-01,157
2022-01-02,73
2022-01-03,112
2022-01-04,126
2022-01-05,121
2022-01-06,114
2022-01-07,124
2022-01-08,144
2022-01-09,78
2022-01-10,137
2022-01-11,111
2022-01-12,109
2022-01-13,106
2022-01-14,122
2022-01-15,154
2022-01-16,89
2022-01-17,118
2022-01-18,110
2022-01-19,115
2022-01-20,89
2022-01-21,148
2022-01-22,151
2022-01-23,82
2022-01-24,120
2022-01-25,110
2022-01-26,125
2022-01-27,108
2022-01-28,142
2022-01-29,144
2022-01-30,69
2022-01-31,112
2022-02-01,113
2022-02-02,111
2022-02-03,102
2022-02-04,146
2022-02-05,149
2022-02-06,75
2022-02-07,111
2022-02-08,116
2022-02-09,119
2022-02-10,94
2022-02-11,124
2022-02-12,153
2022-02-13,65
2022-02-14,406
2022-02-15,114
2022-02-16,129
2022-02-17,103
2022-02-18,122
2022-02-19,148
2022-02-20,78
2022-02-21,106
2022-02-22,127
2022-02-23,116
2022-02-24,96
2022-02-25,141
2022-02-26,144
2022-02-27,61
2022-02-28,136
2022-03-01,317
2022-03-02,304
2022-03-03,269
2022-03-04,334
2022-03-05,395
2022-03-06,185
2022-03-07,287
2022-03-08,571
2022-03-09,288
2022-03-10,275
2022-03-11,339
2022-03-12,414
2022-03-13,191
2022-03-14,292
2022-03-15,314
2022-03-16,126
2022-03-17,99
2022-03-18,133
2022-03-19,154
2022-03-20,77
2022-03-21,113
2022-03-22,117
2022-03-23,125
2022-03-24,107
2022-03-25,137
2022-03-26,153
2022-03-27,67
2022-03-28,113
2022-03-29,135
2022-03-30,119
2022-03-31,97
2022-04-01,281
2022-04-02,323
2022-04-03,148
2022-04-04,245
2022-04-05,268
2022-04-06,246
2022-04-07,237
2022-04-08,291
2022-04-09,343
2022-04-10,143
2022-04-11,242
2022-04-12,284
2022-04-13,241
2022-04-14,226
2022-04-15,285
2022-04-16,126
2022-04-17,67
2022-04-18,100
2022-04-19,103
2022-04-20,96
2022-04-21,73
2022-04-22,122
2022-04-23,118
2022-04-24,76
2022-04-25,82
2022-04-26,103
2022-04-27,96
2022-04-28,92
2022-04-29,127
2022-04-30,138
2022-05-01,63
2022-05-02,102
2022-05-03,101
2022-05-04,105
2022-05-05,92
2022-05-06,96
2022-05-07,139
2022-05-08,261
2022-05-09,95
2022-05-10,101
2022-05-11,101
2022-05-12,86
2022-05-13,109
2022-05-14,137
2022-05-15,53
2022-05-16,98
2022-05-17,116
2022-05-18,97
