ds,y
2022-01-01,203
2022-01-02,98
2022-01-03,147
2022-01-04,167
2022-01-05,154
2022-01-06,143
2022-01-07,172
2022-01-08,190
2022-01-09,96
2022-01-10,177
2022-01-11,133
2022-01-12,147
2022-01-13,140
2022-01-14,158
2022-01-15,199
2022-01-16,119
2022-01-17,166
2022-01-18,149
2022-01-19,146
2022-01-20,121
2022-01-21,190
2022-01-22,193
2022-01-23,113
2022-01-24,168
2022-01-25,152
2022-01-26,179
2022-01-27,142
2022-01-28,177
2022-01-29,188
2022-01-30,95
2022-01-31,154
2022-02-01,168
2022-02-02,145
2022-02-03,141
2022-02-04,184
2022-02-05,199
2022-02-06,89
2022-02-07,133
2022-02-08,158
2022-02-09,160
2022-02-10,126
2022-02-11,170
2022-02-12,211
2022-02-13,82
2022-02-14,519
2022-02-15,139
2022-02-16,154
2022-02-17,139
2022-02-18,148
2022-02-19,197
2022-02-20,89
2022-02-21,137
2022-02-22,177
2022-02-23,160
2022-02-24,114
2022-02-25,189
2022-02-26,189
2022-02-27,80
2022-02-28,174
2022-03-01,412
2022-03-02,374
2022-03-03,344
2022-03-04,421
2022-03-05,521
2022-03-06,241
2022-03-07,383
2022-03-08,730
2022-03-09,371
2022-03-10,357
2022-03-11,442
2022-03-12,519
2022-03-13,256
2022-03-14,390
2022-03-15,398
2022-03-16,167
2022-03-17,133
2022-03-18,166
2022-03-19,205
2022-03-20,97
2022-03-21,142
2022-03-22,156
2022-03-23,156
2022-03-24,133
2022-03-25,175
2022-03-26,198
2022-03-27,84
2022-03-28,160
2022-03-29,190
2022-03-30,145
2022-03-31,117
2022-04-01,368
2022-04-02,432
2022-04-03,189
2022-04-04,328
2022-04-05,354
2022-04-06,312
2022-04-07,320
2022-04-08,393
2022-04-09,436
2022-04-10,185
2022-04-11,339
2022-04-12,372
2022-04-13,308
2022-04-14,291
2022-04-15,376
2022-04-16,164
2022-04-17,89
2022-04-18,136
2022-04-19,132
2022-04-20,123
2022-04-21,100
2022-04-22,158
2022-04-23,164
2022-04-24,94
2022-04-25,108
2022-04-26,133
2022-04-27,124
2022-04-28,118
2022-04-29,166
2022-04-30,172
2022-05-01,74
2022-05-02,140
2022-05-03,122
2022-05-04,151
2022-05-05,120
2022-05-06,128
2022-05-07,186
2022-05-08,332
2022-05-09,126
2022-05-10,130
2022-05-11,133
2022-05-12,116
2022-05-13,152
2022-05-14,181
2022-05-15,67
2022-05-16,132
2022-05-17,151
2022-05-18,125
2022-05-19,124
2022-05-20,169
2022-05-21,183
2022-05-22,78
2022-05-23,136
2022-05-24,141
2022-05-25,120
2022-05-26,120
2022-05-27,174
2022-05-28,172
2022-05-29,78
2022-05-30,133
2022-05-31,167
2022-06-01,121
2022-06-02,123
2022-06-03,159
2022-06-04,185
2022-06-05,108
2022-06-06,112
2022-06-07,148
2022-06-08,153
2022-06-09,116
2022-06-10,145
2022-06-11,170
2022-06-12,61
2022-06-13,129
2022-06-14,119
2022-06-15,115
2022-06-16,129
2022-06-17,170
2022-06-18,169
2022-06-19,97
2022-06-20,147
2022-06-21,145
2022-06-22,136
2022-06-23,114
2022-06-24,141
2022-06-25,160
2022-06-26,95
2022-06-27,134
2022-06-28,141
2022-06-29,140
2022-06-30,127
2022-07-01,153
2022-07-02,175
2022-07-03,96
2022-07-04,143
2022-07-05,154
2022-07-06,140
2022-07-07,129
2022-07-08,156
2022-07-09,179
2022-07-10,101
2022-07-11,116
2022-07-12,150
2022-07-13,142
2022-07-14,133
2022-07-15,148
2022-07-16,190
2022-07-17,107
2022-07-18,128
2022-07-19,138
2022-07-20,122
2022-07-21,122
2022-07-22,158
2022-07-23,178
2022-07-24,82
2022-07-25,157
2022-07-26,123
2022-07-27,118
2022-07-28,156
2022-07-29,154
2022-07-30,191
2022-07-31,95
2022-08-01,121
2022-08-02,119
2022-08-03,117
2022-08-04,105
2022-08-05,186
2022-08-06,161
2022-08-07,64
2022-08-08,112
2022-08-09,115
2022-08-10,108
2022-08-11,103
2022-08-12,133
2022-08-13,165
2022-08-14,62
2022-08-15,115
2022-08-16,132
2022-08-17,131
2022-08-18,119
2022-08-19,154
2022-08-20,156
2022-08-21,82
2022-08-22,140
2022-08-23,128
2022-08-24,124
2022-08-25,104
2022-08-26,154
2022-08-27,171
2022-08-28,75
2022-08-29,119
2022-08-30,135
2022-08-31,111
2022-09-01,104
2022-09-02,139
2022-09-03,154
2022-09-04,51
2022-09-05,131
2022-09-06,143
2022-09-07,120
2022-09-08,104
2022-09-09,135
2022-09-10,163
2022-09-11,86
2022-09-12,100
2022-09-13,108
2022-09-14,121
2022-09-15,130
2022-09-16,148
2022-09-17,152
2022-09-18,89
2022-09-19,116
2022-09-20,129
2022-09-21,146
2022-09-22,122
2022-09-23,156
2022-09-24,150
2022-09-25,81
2022-09-26,107
2022-09-27,152
2022-09-28,116
2022-09-29,103
2022-09-30,138
2022-10-01,159
2022-10-02,99
2022-10-03,101
2022-10-04,133
2022-10-05,134
2022-10-06,130
2022-10-07,143
2022-10-08,151
2022-10-09,88
2022-10-10,116
2022-10-11,135
2022-10-12,114
2022-10-13,111
2022-10-14,159
2022-10-15,167
2022-10-16,80
2022-10-17,126
2022-10-18,140
2022-10-19,121
2022-10-20,110
2022-10-21,149
2022-10-22,171
2022-10-23,80
2022-10-24,138
2022-10-25,136
2022-10-26,129
2022-10-27,133
2022-10-28,163
2022-10-29,177
2022-10-30,51
2022-10-31,115
2022-11-01,120
2022-11-02,107
2022-11-03,103
2022-11-04,133
2022-11-05,180
2022-11-06,65
2022-11-07,127
2022-11-08,122
2022-11-09,127
2022-11-10,109
2022-11-11,132
2022-11-12,185
2022-11-13,79
2022-11-14,134
2022-11-15,127
2022-11-16,128
2022-11-17,107
2022-11-18,154
2022-11-19,160
2022-11-20,234
2022-11-21,375
2022-11-22,436
2022-11-23,416
2022-11-24,346
2022-11-25,475
2022-11-26,559
2022-11-27,269
2022-11-28,360
2022-11-29,449
2022-11-30,416
2022-12-01,127
2022-12-02,139
2022-12-03,175
2022-12-04,88
2022-12-05,139
2022-12-06,121
2022-12-07,125
2022-12-08,122
2022-12-09,132
2022-12-10,175
2022-12-11,59
2022-12-12,133
2022-12-13,117
2022-12-14,147
2022-12-15,448
2022-12-16,562
2022-12-17,621
2022-12-18,291
2022-12-19,477
2022-12-20,523
2022-12-21,462
2022-12-22,433
2022-12-23,561
2022-12-24,648
2022-12-25,291
2022-12-26,502
2022-12-27,571
2022-12-28,469
2022-12-29,464
2022-12-30,581
2022-12-31,662
2023-01-01,60
2023-01-02,118
2023-01-03,121
2023-01-04,120
2023-01-05,131
2023-01-06,158
2023-01-07,150
2023-01-08,64
2023-01-09,122
2023-01-10,124
2023-01-11,110
2023-01-12,103
2023-01-13,143
2023-01-14,165
2023-01-15,86
2023-01-16,139
2023-01-17,133
2023-01-18,134
2023-01-19,131
2023-01-20,153
2023-01-21,169
2023-01-22,72
2023-01-23,126
2023-01-24,155
2023-01-25,122
2023-01-26,123
2023-01-27,161
2023-01-28,161
2023-01-29,108
2023-01-30,114
2023-01-31,122
2023-02-01,128
2023-02-02,105
2023-02-03,181
2023-02-04,191
2023-02-05,65
2023-02-06,138
2023-02-07,143
2023-02-08,115
2023-02-09,114
2023-02-10,137
2023-02-11,188
2023-02-12,66
2023-02-13,130
2023-02-14,510
2023-02-15,162
2023-02-16,118
2023-02-17,154
2023-02-18,195
2023-02-19,89
2023-02-20,126
2023-02-21,151
2023-02-22,137
2023-02-23,124
2023-02-24,154
2023-02-25,175
2023-02-26,88
2023-02-27,117
2023-02-28,155
2023-03-01,326
2023-03-02,299
