ds,y
2022-01-01,16.0
2022-01-02,17.0
2022-01-03,10.0
2022-01-04,17.0
2022-01-05,9.0
2022-01-06,9.0
2022-01-07,11.0
2022-01-08,8.0
2022-01-09,6.0
2022-01-10,16.0
2022-01-11,11.0
2022-01-12,11.0
2022-01-13,15.0
2022-01-14,6.0
2022-01-15,11.0
2022-01-16,8.0
2022-01-17,11.0
2022-01-18,11.0
2022-01-19,16.0
2022-01-20,16.0
2022-01-21,11.0
2022-01-22,12.0
2022-01-23,13.0
2022-01-24,14.0
2022-01-25,6.0
2022-01-26,14.0
2022-01-27,13.0
2022-01-28,16.0
2022-01-29,12.0
2022-01-30,6.0
2022-01-31,5.0
2022-02-01,15.0
2022-02-02,9.0
2022-02-03,14.0
2022-02-04,11.0
2022-02-05,28.0
2022-02-06,3.0
2022-02-07,9.0
2022-02-08,9.0
2022-02-09,11.0
2022-02-10,9.0
2022-02-11,5.0
2022-02-12,17.0
2022-02-13,3.0
2022-02-14,38.0
2022-02-15,12.0
2022-02-16,11.0
2022-02-17,8.0
2022-02-18,5.0
2022-02-19,13.0
2022-02-20,15.0
2022-02-21,14.0
2022-02-22,10.0
2022-02-23,10.0
2022-02-24,14.0
2022-02-25,18.0
2022-02-26,13.0
2022-02-27,6.0
2022-02-28,6.0
2022-03-01,30.0
2022-03-02,19.0
2022-03-03,21.0
2022-03-04,33.0
2022-03-05,33.0
2022-03-06,17.0
2022-03-07,17.0
2022-03-08,35.0
2022-03-09,25.0
2022-03-10,26.0
2022-03-11,24.0
2022-03-12,49.0
2022-03-13,11.0
2022-03-14,32.0
2022-03-15,19.0
2022-03-16,15.0
2022-03-17,5.0
2022-03-18,14.0
2022-03-19,17.0
2022-03-20,10.0
2022-03-21,9.0
2022-03-22,14.0
2022-03-23,15.0
2022-03-24,13.0
2022-03-25,13.0
2022-03-26,7.0
2022-03-27,5.0
2022-03-28,14.0
2022-03-29,17.0
2022-03-30,12.0
2022-03-31,9.0
2022-04-01,28.0
2022-04-02,38.0
2022-04-03,14.0
2022-04-04,19.0
2022-04-05,20.0
2022-04-06,27.0
2022-04-07,14.0
2022-04-08,27.0
2022-04-09,33.0
2022-04-10,8.0
2022-04-11,25.0
2022-04-12,24.0
2022-04-13,25.0
2022-04-14,22.0
2022-04-15,28.0
2022-04-16,6.0
2022-04-17,5.0
2022-04-18,10.0
2022-04-19,5.0
2022-04-20,8.0
2022-04-21,7.0
2022-04-22,9.0
2022-04-23,14.0
