ds,y
2022-01-01,40
2022-01-02,19
2022-01-03,39
2022-01-04,30
2022-01-05,38
2022-01-06,38
2022-01-07,49
2022-01-08,53
2022-01-09,27
2022-01-10,43
2022-01-11,29
2022-01-12,44
2022-01-13,36
2022-01-14,48
2022-01-15,54
2022-01-16,29
2022-01-17,39
2022-01-18,45
2022-01-19,38
2022-01-20,32
2022-01-21,45
2022-01-22,60
2022-01-23,26
2022-01-24,48
2022-01-25,31
2022-01-26,48
2022-01-27,26
2022-01-28,43
2022-01-29,59
2022-01-30,30
2022-01-31,38
2022-02-01,31
2022-02-02,47
2022-02-03,34
2022-02-04,50
2022-02-05,53
2022-02-06,26
2022-02-07,34
2022-02-08,39
2022-02-09,59
2022-02-10,41
2022-02-11,34
2022-02-12,68
2022-02-13,19
2022-02-14,112
2022-02-15,35
2022-02-16,40
2022-02-17,39
2022-02-18,54
2022-02-19,61
2022-02-20,14
2022-02-21,30
2022-02-22,48
2022-02-23,40
2022-02-24,21
2022-02-25,39
2022-02-26,52
2022-02-27,14
2022-02-28,41
2022-03-01,84
2022-03-02,105
2022-03-03,85
2022-03-04,116
2022-03-05,147
2022-03-06,65
2022-03-07,107
2022-03-08,173
2022-03-09,117
2022-03-10,86
2022-03-11,124
2022-03-12,123
2022-03-13,79
2022-03-14,100
2022-03-15,100
2022-03-16,46
2022-03-17,36
2022-03-18,42
2022-03-19,61
2022-03-20,26
2022-03-21,37
2022-03-22,35
2022-03-23,33
2022-03-24,29
2022-03-25,34
2022-03-26,52
2022-03-27,19
2022-03-28,34
2022-03-29,32
2022-03-30,37
2022-03-31,24
2022-04-01,104
2022-04-02,116
2022-04-03,33
2022-04-04,69
2022-04-05,82
2022-04-06,80
2022-04-07,75
2022-04-08,105
2022-04-09,128
2022-04-10,60
2022-04-11,77
2022-04-12,102
2022-04-13,65
2022-04-14,81
2022-04-15,84
2022-04-16,44
2022-04-17,25
2022-04-18,29
2022-04-19,34
2022-04-20,29
2022-04-21,34
2022-04-22,41
2022-04-23,34
2022-04-24,17
2022-04-25,25
2022-04-26,29
2022-04-27,33
2022-04-28,34
2022-04-29,35
2022-04-30,47
2022-05-01,18
2022-05-02,34
2022-05-03,33
2022-05-04,35
2022-05-05,38
2022-05-06,45
2022-05-07,46
2022-05-08,92
2022-05-09,44
2022-05-10,34
2022-05-11,33
2022-05-12,27
2022-05-13,37
2022-05-14,34
2022-05-15,24
2022-05-16,32
2022-05-17,43
2022-05-18,28
2022-05-19,23
2022-05-20,43
2022-05-21,49
2022-05-22,20
2022-05-23,32
2022-05-24,38
2022-05-25,24
2022-05-26,25
2022-05-27,48
