tarih,kategori,adet,ciro
2025-06-10,Saç Bakım,8,1636.48
2025-01-01,Saç Bakım,5,1464.6
2024-10-30,Saç Bakım,13,1657.87
2024-12-07,Saç Bakım,15,3514.65
2024-12-10,Saç Bakım,1,38.88
2024-09-05,Saç Bakım,8,2010.59
2025-05-12,Saç Bakım,4,218.56
2024-08-22,Saç Bakım,8,2317.15
2025-05-19,Saç Bakım,4,408.86
2025-01-17,Saç Bakım,3,542.41
2025-06-12,Saç Bakım,17,2477.3
2024-12-02,Saç Bakım,5,340.91
2024-10-13,Saç Bakım,9,180.21
2025-01-30,Saç Bakım,15,3118.13
2024-11-05,Saç Bakım,2,301.24
2025-06-07,Saç Bakım,8,1624.86
2025-01-01,Saç Bakım,4,406.74
2024-08-24,Saç Bakım,14,1971.18
2024-10-04,Saç Bakım,6,1604.46
2025-06-04,Saç Bakım,20,864.16
2025-02-20,Saç Bakım,14,3008.72
2025-04-16,Saç Bakım,16,2960.4
2025-02-02,Saç Bakım,20,5762.86
2024-09-20,Saç Bakım,13,2758.36
2024-07-19,Saç Bakım,10,2615.68
2024-10-09,Saç Bakım,11,2410.0
2024-10-28,Saç Bakım,6,1504.97
2025-01-11,Saç Bakım,3,576.87
2025-03-05,Saç Bakım,4,235.73
2024-11-05,Saç Bakım,16,3721.93
2024-11-15,Saç Bakım,20,1279.69
2025-02-26,Saç Bakım,13,1356.88
2025-02-17,Saç Bakım,1,46.32
2024-08-12,Saç Bakım,12,1316.32
2024-10-30,Saç Bakım,10,1343.21
2025-05-14,Saç Bakım,13,3849.44
2024-12-31,Saç Bakım,7,1728.03
2024-12-19,Saç Bakım,6,414.27
2025-03-01,Saç Bakım,2,502.35
2025-04-18,Saç Bakım,7,1363.63
2024-11-07,Saç Bakım,15,2873.6
2024-09-09,Saç Bakım,16,4012.61
2025-05-17,Saç Bakım,18,5373.98
2024-10-07,Saç Bakım,20,2999.62
2025-01-27,Saç Bakım,4,753.25
2024-07-18,Saç Bakım,13,1109.01
2024-09-15,Saç Bakım,16,1265.76
2025-02-04,Saç Bakım,5,1175.42
2025-01-29,Saç Bakım,13,1434.36
2025-03-15,Saç Bakım,8,1085.27
2025-03-27,Saç Bakım,7,368.76
2024-12-07,Saç Bakım,9,392.49
2025-03-04,Saç Bakım,17,1364.4
2024-12-12,Saç Bakım,19,1327.36
2025-06-18,Saç Bakım,18,387.3
2024-07-09,Saç Bakım,5,455.96
2024-12-24,Saç Bakım,6,251.77
2025-01-21,Saç Bakım,5,1479.62
2025-03-19,Saç Bakım,5,1370.61
2024-07-04,Saç Bakım,3,618.68
2024-07-21,Saç Bakım,1,149.09
2024-07-08,Saç Bakım,4,786.31
2024-10-14,Saç Bakım,1,117.51
2024-08-24,Saç Bakım,4,327.71
2025-01-25,Saç Bakım,11,1133.77
2025-06-25,Saç Bakım,17,636.55
2025-05-26,Saç Bakım,9,1433.03
2024-10-21,Saç Bakım,1,58.08
2024-07-20,Saç Bakım,16,4611.09
2025-02-05,Saç Bakım,18,3806.29
2024-10-06,Saç Bakım,12,896.93
2024-12-30,Saç Bakım,17,650.91
2025-05-21,Saç Bakım,1,114.68
2025-03-07,Saç Bakım,3,721.44
2025-02-04,Saç Bakım,7,1416.28
2025-06-16,Saç Bakım,2,482.82
2024-09-14,Saç Bakım,9,520.29
2024-10-21,Saç Bakım,19,2464.66
2025-01-17,Saç Bakım,10,2867.91
2025-02-12,Saç Bakım,2,440.39
2024-07-30,Saç Bakım,16,3523.13
2025-01-16,Saç Bakım,1,65.31
2024-12-25,Saç Bakım,8,1006.98
2025-02-07,Saç Bakım,13,2320.88
2025-01-21,Saç Bakım,16,922.51
2024-08-08,Saç Bakım,9,1656.31
2024-10-14,Saç Bakım,10,1716.08
2024-12-23,Saç Bakım,9,2126.36
2025-04-16,Saç Bakım,12,1921.51
2024-11-04,Saç Bakım,9,2068.44
2025-02-06,Saç Bakım,7,1590.6
2024-09-18,Saç Bakım,6,1335.44
2025-04-28,Saç Bakım,11,2950.75
2024-11-17,Saç Bakım,16,1306.49
2024-07-19,Saç Bakım,17,4690.14
2025-03-01,Saç Bakım,13,1426.31
2025-04-23,Saç Bakım,5,122.85
2024-07-01,Saç Bakım,8,2094.23
2024-10-09,Saç Bakım,15,1242.9
2024-08-23,Saç Bakım,9,862.31
2024-07-05,Saç Bakım,17,3817.82
2025-05-21,Saç Bakım,10,115.95
2025-02-25,Saç Bakım,17,4746.43
2024-11-26,Saç Bakım,18,2100.9
2024-11-24,Saç Bakım,12,478.69
2024-08-31,Saç Bakım,5,301.93
2024-07-12,Saç Bakım,6,1535.3
2024-12-27,Saç Bakım,16,2306.35
2025-05-04,Saç Bakım,1,260.42
2024-06-28,Saç Bakım,3,270.04
2025-05-17,Saç Bakım,19,2078.11
2024-12-24,Saç Bakım,18,1434.06
2024-11-17,Saç Bakım,7,1472.84
2025-03-12,Saç Bakım,20,5016.99
2024-08-08,Saç Bakım,7,683.72
2025-01-21,Saç Bakım,10,309.4
2025-04-07,Saç Bakım,3,561.92
2025-01-18,Saç Bakım,14,1260.5
2024-09-24,Saç Bakım,5,595.39
2024-09-06,Saç Bakım,5,796.46
2025-01-11,Saç Bakım,11,2448.62
2024-06-27,Saç Bakım,1,281.3
2024-07-24,Saç Bakım,3,246.58
2024-12-31,Saç Bakım,12,1928.66
2025-03-08,Saç Bakım,1,60.24
2024-08-10,Saç Bakım,19,5541.94
2024-07-12,Saç Bakım,5,734.34
2024-09-13,Saç Bakım,13,2867.93
2024-09-19,Saç Bakım,6,818.51
2025-04-06,Saç Bakım,19,2335.9
2025-01-07,Saç Bakım,6,1017.5
2025-02-27,Saç Bakım,9,2012.29
2025-03-26,Saç Bakım,13,2071.99
2024-09-03,Saç Bakım,12,3411.45
2024-10-24,Saç Bakım,11,2913.03
2024-11-01,Saç Bakım,12,454.21
2024-10-27,Saç Bakım,9,1880.52
2025-04-11,Saç Bakım,8,1497.19
2025-02-20,Saç Bakım,7,663.03
2025-03-31,Saç Bakım,17,2382.64
2024-07-23,Saç Bakım,1,19.5
2024-07-04,Saç Bakım,7,235.75
2024-09-06,Saç Bakım,17,4094.19
2024-08-29,Saç Bakım,2,386.74
2024-07-28,Saç Bakım,18,2084.43
2024-11-06,Saç Bakım,19,2654.59
2024-12-29,Saç Bakım,9,2635.46
2024-08-09,Saç Bakım,4,487.02
2025-02-17,Saç Bakım,7,924.86
2024-11-01,Saç Bakım,12,1990.42
2024-08-16,Saç Bakım,1,231.37
2024-08-23,Saç Bakım,19,470.13
2025-05-10,Saç Bakım,4,87.56
2025-03-11,Saç Bakım,4,869.55
2025-02-16,Saç Bakım,7,1100.33
2024-12-26,Saç Bakım,4,895.48
2025-02-14,Saç Bakım,6,349.66
2024-08-10,Saç Bakım,2,415.79
2024-12-29,Saç Bakım,6,593.72
2024-11-18,Saç Bakım,12,333.3
2024-12-27,Saç Bakım,12,3218.47
2024-12-27,Saç Bakım,10,1094.3
2024-12-29,Saç Bakım,5,1119.9
2025-06-19,Saç Bakım,15,2702.82
2024-09-27,Saç Bakım,9,797.5
2025-04-22,Saç Bakım,15,3268.2
2025-01-05,Saç Bakım,13,795.52
2025-03-04,Saç Bakım,6,155.94
2025-04-06,Saç Bakım,13,1693.3
2024-09-12,Saç Bakım,18,5153.72
2025-05-02,Saç Bakım,3,148.95
2025-01-01,Saç Bakım,13,2796.72
2024-12-18,Saç Bakım,7,956.29
2025-05-26,Saç Bakım,13,868.56
2024-08-16,Saç Bakım,12,1686.96
2024-11-03,Saç Bakım,1,77.3
2024-10-07,Saç Bakım,10,936.24
2024-06-28,Saç Bakım,1,171.6
2025-01-02,Saç Bakım,12,2802.97
2024-09-07,Saç Bakım,11,3225.12
2025-01-10,Saç Bakım,4,970.18
2025-01-01,Saç Bakım,1,109.99
2024-08-13,Saç Bakım,5,1227.83
2025-02-17,Saç Bakım,13,1766.71
2024-08-06,Saç Bakım,16,4632.57
2025-03-04,Saç Bakım,16,778.11
2025-02-13,Saç Bakım,10,266.91
2024-12-27,Saç Bakım,7,1753.57
2025-05-16,Saç Bakım,5,151.5
2025-03-23,Saç Bakım,18,1143.93
2024-11-11,Saç Bakım,19,3038.67
2024-08-22,Saç Bakım,4,910.24
2024-08-05,Saç Bakım,16,4552.49
2024-08-20,Saç Bakım,18,293.88
2024-11-05,Saç Bakım,2,471.32
2024-12-09,Saç Bakım,11,2074.7
2024-10-18,Saç Bakım,7,1905.72
2024-07-01,Saç Bakım,6,1357.61
2024-11-04,Saç Bakım,8,1541.2
2025-02-05,Saç Bakım,20,1948.92
2025-05-24,Saç Bakım,20,3303.69
2025-03-02,Saç Bakım,14,1471.56
2024-12-06,Saç Bakım,7,1750.76
2024-10-23,Saç Bakım,6,472.11
2024-10-22,Saç Bakım,5,1077.65
2025-06-14,Saç Bakım,13,3254.66
2025-01-01,Saç Bakım,15,1967.62
2025-03-06,Saç Bakım,6,1334.41
2024-10-30,Saç Bakım,8,737.2
2025-04-28,Saç Bakım,7,121.45
2025-04-01,Saç Bakım,7,1737.92
2025-03-22,Saç Bakım,14,1727.38
2024-09-07,Saç Bakım,9,2156.01
2025-04-20,Saç Bakım,17,4727.51
2024-08-10,Saç Bakım,19,4697.41
2024-08-19,Saç Bakım,13,923.85
2025-01-11,Saç Bakım,18,4392.0
2025-04-13,Saç Bakım,18,3884.24
2024-07-27,Saç Bakım,10,1284.29
2024-12-12,Saç Bakım,15,2615.28
2024-09-23,Saç Bakım,9,1716.49
2025-01-08,Saç Bakım,5,1109.89
2025-01-08,Saç Bakım,12,1905.18
2025-04-05,Saç Bakım,17,4577.71
2025-01-22,Saç Bakım,3,653.91
2025-06-09,Saç Bakım,9,1617.48
2025-06-19,Saç Bakım,3,314.46
2024-07-24,Saç Bakım,8,1708.89
2025-05-21,Saç Bakım,5,89.64
2025-03-18,Saç Bakım,15,2514.24
2024-08-22,Saç Bakım,17,4296.96
2025-01-15,Saç Bakım,7,995.83
2025-06-01,Saç Bakım,7,1075.07
2025-05-20,Saç Bakım,4,547.62
2025-02-06,Saç Bakım,8,760.99
2025-01-21,Saç Bakım,6,1446.03
2025-05-05,Saç Bakım,2,533.79
2025-03-27,Saç Bakım,12,285.04
2024-07-18,Saç Bakım,6,1452.02
2025-03-03,Saç Bakım,3,762.24
2025-06-10,Saç Bakım,20,5380.33
2025-02-08,Saç Bakım,14,862.89
2024-07-12,Saç Bakım,20,4363.33
2025-05-21,Saç Bakım,8,1337.15
2025-02-22,Saç Bakım,2,362.04
2024-12-21,Saç Bakım,8,266.22
2024-08-24,Saç Bakım,20,4326.5
2025-04-23,Saç Bakım,4,414.64
2024-12-29,Saç Bakım,6,376.91
2024-07-07,Saç Bakım,20,4236.67
2024-10-22,Saç Bakım,1,248.01
2024-10-27,Saç Bakım,6,1009.35
2024-11-28,Saç Bakım,16,3342.06
2025-03-14,Saç Bakım,5,315.54
2024-08-14,Saç Bakım,1,34.36
2025-04-16,Saç Bakım,18,1599.13
2024-09-17,Saç Bakım,10,2441.16
2024-07-10,Saç Bakım,14,3410.66
2024-07-11,Saç Bakım,19,3126.41
2024-10-24,Saç Bakım,16,4204.74
2025-05-04,Saç Bakım,1,163.56
2025-05-25,Saç Bakım,16,3005.28
2024-08-09,Saç Bakım,19,1653.18
2024-07-31,Saç Bakım,6,879.9
2025-02-27,Saç Bakım,10,1997.59
2024-11-30,Saç Bakım,4,1197.89
2025-01-03,Saç Bakım,8,1346.07
2025-04-12,Saç Bakım,11,1108.22
2025-03-24,Saç Bakım,1,281.12
2024-08-25,Saç Bakım,13,1343.0
2024-10-17,Saç Bakım,1,239.07
2025-02-25,Saç Bakım,17,2720.63
2024-11-30,Saç Bakım,5,991.47
2025-01-16,Saç Bakım,18,3174.33
2025-03-01,Saç Bakım,2,107.61
2025-04-16,Saç Bakım,11,2420.74
2025-01-20,Saç Bakım,19,2011.85
2024-12-07,Saç Bakım,20,4255.53
2024-10-31,Saç Bakım,17,2842.04
2024-08-21,Saç Bakım,13,1951.3
2024-11-13,Saç Bakım,5,1330.92
2025-05-20,Saç Bakım,3,277.2
2025-03-24,Saç Bakım,10,2420.97
2025-03-11,Saç Bakım,7,1117.44
2024-12-22,Saç Bakım,5,400.23
2024-10-03,Saç Bakım,14,3206.44
2025-05-05,Saç Bakım,3,241.89
2024-12-01,Saç Bakım,19,3188.61
2025-04-13,Saç Bakım,6,1304.69
2024-08-02,Saç Bakım,6,729.86
2025-04-20,Saç Bakım,16,3643.21
2025-05-20,Saç Bakım,16,4170.79
2024-08-25,Saç Bakım,13,940.89
2024-07-14,Saç Bakım,7,1868.64
2025-03-05,Saç Bakım,9,698.42
2025-03-03,Saç Bakım,5,1451.49
2025-04-06,Saç Bakım,4,680.4
2025-05-13,Saç Bakım,13,1603.51
2025-01-09,Saç Bakım,8,577.5
2024-12-14,Saç Bakım,17,3589.29
